New column 0,New column 1,New column 2
loner_wolf,Reviewed in India on 3 August 2019,ink cannot be filled had to buy original hp. software installated is such that ink tampering is detected when filling is done.
vijayalakshmi,Reviewed in India on 1 March 2017,Good printing one but complicated and carries are too much expensive if you want this printer for Xerox copy then don't buy.almost for one Xerox copy it takes 6 rupees. and also same price for colour xerox and colour print
SUSHANT,Reviewed in India on 13 January 2022,As a brand name this product stand perfect. Good quality printer which can be use for printing scaning and Xerox purpose.
Anita M Honyalkar,Reviewed in India on 26 September 2020,Very useful and proper operational easy to use product in low rate.
hashmath,Reviewed in India on 9 January 2020,No Wi-fi and the cartridges are very small and expensive. The printer is not economical !!
ajay,Reviewed in India on 5 December 2020,"best product with less cost
check printer below:
https://amzn.to/2VDL8uD"
जयवीर,Reviewed in India on 30 January 2023,Not
Sushil thakur,Reviewed in India on 27 July 2022,Good
大西功容,Reviewed in India on 15 May 2021,"Printing does not stop even if the ink runs out.
Scanning and copying cannot be done without a computer.
I want you to improve."
mansoorpg,Reviewed in India on 5 June 2021,Super
Magudeeswaran,Reviewed in India on 10 October 2020,Very easy and simple to use. Good one for home use
harsha,Reviewed in India on 3 October 2020,Within a week it's paper jam issue started. Hp technical person saying nonsense things. It printed only 20 page. N he saying yes sir it's only 20 page giving cartridge is empty. After we bought new cartridge again it strucked now he's saying it's not cover in warranty. I purchased this just 15 days back it completely waste of money and time. Hp is worst support. I do not recommend this product don't buy this brand it's just a brand u can't get any support.
Shetteppa,Reviewed in India on 1 August 2022,No
Bhanwar lal,Reviewed in India on 9 May 2021,Overall awesome
Partha Pratim Sengupta,Reviewed in India on 17 August 2020,Not very user friendly
Srinath,Reviewed in India on 20 October 2021,While printing suddenly stopped and stucked.... need support from HP brand
vivek kumar,Reviewed in India on 19 April 2020,"ink cartridge given along with printer lasts hardly 67 pages. and even printing in black and white,color cartridge also got consumed."
santosh kumar,Reviewed in India on 24 October 2022,"Not even more than 20 pages got clear one either colour or black
Worst quality and no customer service provided"
Apoorva,Reviewed in India on 11 October 2022,Please don't buy this product... Print quality is very very poor... Flow of ink in machine is not uniform.... Wasted 4000/- on this product..
Shaheen,Reviewed in India on 19 October 2022,"Product is nice but delivery is very very late
I need the printer 🖨️ it was an emergency thank you"
pk,Reviewed in India on 5 March 2020,nice printer and scanner if you rarely use for printing like 50 pages a month. i mainly bought for scanning. and that is marvelous.
Digvijaysinh parmar,Reviewed in India on 28 April 2021,"Nice product at this price range.
This product is usefull for few copies.
If your requirements to copy 50 to 80 copy per month.
If your requirements are more than 80 copies you need other printer..."
Js,Reviewed in India on 6 March 2018,Good product but only issue is that cartridges are too small and hold very less ink even on refilling. Cost of new cartridge is too high. Economy printer should have reasonably priced cartridges.
Rupen...,Reviewed in India on 21 November 2020,Product is fine but the cartridges are costly ...
MK,Reviewed in India on 13 April 2021,Good purchase
Sharath,Reviewed in India on 5 January 2023,Print quality is ok ok
MANCHANDRA,Reviewed in India on 7 May 2022,Very easy to install and works great in a small budget.
Bapi Mondal,Reviewed in India on 23 January 2021,Don't Buy cartridge printers. It will cost you much much higher in long run after 2 to 3 years if you compare between (both cartridge-printer + all the cartridge you have purchased) and (inktank-printer + all ink) you will find out ink tank is much cheaper . Better go for inktank. Never think you can refill and use old cartridge HP blocks old cartridge after it's ink get empty. Printer will not detect refilled cartridge.
Amazon Customer,Reviewed in India on 13 January 2021,Product not working within 1 month
Happy Singh tomar,Reviewed in India on 5 July 2020,Colour print quality is bad but black & white and everything is excellent scanning better performance better
"Sourav, Kolkata",Reviewed in India on 4 February 2020,Good product but almost same price available in the market. Average photo print performance.
Sanath,Reviewed in India on 11 January 2020,"It can print on 50 pages per refill of the ink, and scanning is very slow."
Tejas,Reviewed in India on 28 December 2020,Product is good but problem in cartilage
vinay mittal,Reviewed in India on 19 December 2022,THE PRINTER WAS DEFECTIVE AND DID NOT WORK.
Ashwini Harole,Reviewed in India on 10 November 2019,Good printer and lightweight but the printing rate is slow for colour prints but overall good package
Moses Quinker,Reviewed in India on 8 February 2019,The quality is not as expected so I want to replace the the product with hight quality. Please suggest me with number or process
Hanumaiah.Bollineni,Reviewed in India on 16 September 2021,"Printer works very Good,
But it maintains cost like ink cartridges is very high"
Nitin,Reviewed in India on 18 October 2019,good product at this price range... cartridge is comparatively costly but for home use it is good product... print quality is best... easy to install & operate... must buy product!!
ARIJIT DAS,Reviewed in India on 28 July 2020,tri colour cartridge was defective..
Sumit Kumar,Reviewed in India on 19 June 2019,The printer quality is good...but ink will last only till 25 pages..only good for urgent prints that too one or two
Sujit,Reviewed in India on 3 January 2022,Good look and easy set up what is good. The cartridge price should have been cheaper and affordable upto 500/-
Nishant Bhati,Reviewed in India on 5 October 2019,"Never buy cheap printers. This is totally a scan big printer giants sell printers for small amount of money. Because their main agenda is to sell ink cartridges and that where they earn money from.

This is the cheapest junk you can buy. It stopped working after 6 months and got repaired in warranty, then again it stopped working after 13 months and now HP is asking 5000 rupees to repair it. Plus it is a ink guzzler printer one cartridge barely prints 70 black page. And 30-40 coloured prints max out."
Nirmala,Reviewed in India on 7 February 2020,I don't receive driver CD with the printer ... Plz send the CD..
sunder,Reviewed in India on 10 October 2019,every thing is ok but i have not received the CD please send me the CD to install
manoja,Reviewed in India on 13 August 2021,"Good one but doesn't work with Mobile, laptop/desktop must and should..few reviews are saying it is compatible with the mobile phones but not. Checked with customers care too"
sampriti ganguly,Reviewed in India on 15 August 2020,"I got this all in one printer during the lockdown period for my WFH requirements. Happy to report the printer is super easy to install and use. Print and scan quality could be better but considering the price, it is adequate. Amazon delivery is as usual prompt and very reliable."
Puneet Ahuja,Reviewed in India on 19 October 2021,This is genuinely a third class product it’s been few months only that I have purchased this printer and I had taken out only 3 print outs and the cartridge got finished....can you just think of only 3 print out .....don’t buy this product at all ....and moreover no service at all
Nitin Vermaa,Reviewed in India on 1 November 2020,I bought this product from amazon. after install I found out that its driver is not available on HP site. I tried to refund but amazon customer agent didnt allow and pushed me to install HP Smart and told that it will work with that. BUt it didnt work. Now amazon is saying that refund window is closed and I can not return this useless product. I dont know where to reach it to refund or get it working....
A A KHAN,Reviewed in India on 11 November 2022,It is not able to print at all. Pl return and refund my money
shafeeq,Reviewed in India on 5 September 2019,"Product Delivered fast.Packing is ok.
Product design and quality is good for this price range.

The only thing that dislikes is the ink usage.
It's using more ink to print."
Dr.M.Somashekhar,Reviewed in India on 1 April 2021,Easy to handle?
AtSrkr,Reviewed in India on 19 August 2018,"It's a user friendly printer. Quick and easy installation. Even the elderly can print without any help ... which is a PLUS!!!
Highly recommend to those who want to print at home and doesn't want to invest much on a all-in-one printer."
Balasundaram,Reviewed in India on 26 July 2021,HP Printer deskjet 2331 Received printer without scan options. HP Customer service kindly contact us immediately
PrinceChungath,Reviewed in India on 12 May 2021,Good
Manish Nagpure,Reviewed in India on 31 October 2022,"total waste product after 2-3 months it is not able to print
cartages are very costly"
Aaliya,Reviewed in India on 16 September 2020,"Nice product ,definitely we can buy this product with no doubt"
Deepak Bhatt,Reviewed in India on 15 May 2021,"HP Always liked me a lot. There are several reasons to buy HP products.

1) Easy to Use
2) Availability of the Products and Accessories
3) Low Cost
4) Polite and Quick Customer Service"
S.Satyanarayana,Reviewed in India on 10 November 2020,Nice quality picture but ink cost is too high
Nirnimesh Trivedi,Reviewed in India on 17 August 2021,"Purchased this and initially was happy as printer has high ratings. May be i have got faulted piece out of the stock.
In begining it was working fine but after that stopped printing and there is no one to contact through amazon. Printer is not accepting paper and getting unusual sound.
Better buy it from showroom or shop"
Amazon Customer,Reviewed in India on 3 December 2021,Product it good bud vendor has provided duplicate cartridge after printing 25-page printer showing empty ink. HP not looking that . Again I have purchased refill kit and try to print . I never purchase original cartridge again because all vendor provide duplicate cartridge over amazonr .
Mohanraj,Reviewed in India on 6 September 2020,Good quality output
Abhishek,Reviewed in India on 15 January 2022,Not good 😒
C S R,Reviewed in India on 8 May 2017,"I gave two stars as I received it within a day. Free delivery on a sunday. But I received an old model 2130 in a box which says 2131. The sticker on the printer says 2131 but the manual and the software installation said it's 2130. IT IS 2130

I scanned few images. It's pretty inferior in quality. I literally screamed when I saw the ghastly images. Printers works for now. Will update in future."
Nidhin M Joy,Reviewed in India on 7 August 2022,This could be only used for few prints. Then it's ink gets over! Then u need to buy that for more than 1400 rs!. It's a waste for me now.. No replacements
Ganji Balakoteswararao,Reviewed in India on 9 August 2020,Print quality is good
Amazon customer,Reviewed in India on 29 March 2018,User friendly.. But stacking the papers in the tray is the key issue... An inch here n there n the printer would not print. I didn't face this with my previous brand.
Yogendra singh,Reviewed in India on 14 September 2019,"I haven't got the driver cd inside the package .
Faced some issues while connecting pc due to this."
Ammbashankar,Reviewed in India on 14 June 2020,Perfectly printing from my laptop as well as from my mobile. My expectations are fulfilled
GROUPERS,Reviewed in India on 15 October 2020,Fair
MOHANDAS,Reviewed in India on 17 November 2020,Worst experience. Printer cartridge in dried up after 50-60 prints. Unable to get new cartridge as out of stock in Hp store. Moreover the price of cartridge is too costly. Totally waste of money.
Ramesh,Reviewed in India on 9 November 2022,For home use now not working so please help me how contact customer service
Chockalingam,Reviewed in India on 21 January 2021,the sync part of it.
Vachaspathi Sarma,Reviewed in India on 6 May 2022,It is easy to install and Print quality is good
Ghanshyam,Reviewed in India on 11 December 2020,Printing per page cost is very high😑
Premini,Reviewed in India on 21 July 2021,Perfect printer for students. It really helped me a lot though the cartridge XXL only for 240 pages which cost around 1200/- which seems a bit costly than the printer.
SURYA E,Reviewed in India on 26 January 2020,Value for Money. Print quality is not so appreciable. Good pick for rough/home use.
Sailesh C Roy,Reviewed in India on 30 November 2020,Easy to install. Ink cost is huge
Satya,Reviewed in India on 12 May 2021,"I have purchase this product but the printer has not printed 50 pages , and showing problem with printer. Also my product is under warranty but still I am not getting any support on this item. It is not printing any document. Is it possible to exchange the items ? Worst item received from Amazon . No quality check and after sales services ."
Sweety,Reviewed in India on 3 December 2021,"Worth the money as its life span is good but ink goes very expensive, when we have to buy it separately."
Amazon Customer,Reviewed in India on 16 October 2021,Printer is not working after printing nearly 30-40 pages
rameezraj,Reviewed in India on 14 March 2020,"good printer in this price nice printing,scan photocopy i am giving 4 instead of 5 because printer installation cd missing"
Parmar Niraj Kumar Anilbhai,Reviewed in India on 14 September 2020,Very nice
Saurav Bajaj,Reviewed in India on 1 December 2020,"DO NOT BUY HP PRINTERS.. They do not have driver /Software for Macbook IOS version 10.15.5 .. on several request n calls HP customer care replies with a sorry saying they do not have driver for Mac latest version so i have to wait until they have it. Amazon customer service said they will refund they money n pick the order (I have a confirmation
mail from amazon) which they have not initiated till now."
Ricky mehta,Reviewed in India on 7 November 2021,Inc give in low quantity 20-30 pages
Brijendra Singh,Reviewed in India on 6 November 2019,my product's cortage is damge and its under warrenty period kindly change or fix the cortage
K.K.Senthil Velan,Reviewed in India on 5 March 2018,The ink cartridge that was given was very low in quantity. I could only take only 50 pages with black ink and it is over. Not sure whether this is genuine.
Silas Srinivas,Reviewed in India on 14 June 2019,Quality of resolution is not good as I expected. Colour print seems to be worst whereas black print is good.
Sandeep patil,Reviewed in India on 2 September 2020,I love the product but facing problem in connecting to mobile
Amazon Customer,Reviewed in India on 14 January 2021,Perfect printer at this price
Kesavan K,Reviewed in India on 16 September 2020,Too early to comment on the quality of product.
Niraj ram,Reviewed in India on 19 July 2022,Super
Vinay,Reviewed in India on 24 September 2021,Very bad customer service nd very bad experience with hp nd I purchased hp desk jet gt 5810 before 4 year product have manufacturing problem I trust again hp I purchased hp desk jet 2331 on 5 sep 2021 bt same issue now customer care name subanto he says my product out of warranty
Ravi,Reviewed in India on 16 July 2020,Just got few mins back. Complimentary Cartridges are missing. What to do? Please suggest.
Anil Kumar,Reviewed in India on 2 November 2022,"Printer in not comparable with windows 7
Printer driver is not provided along with printer and"
Deepan,Reviewed in India on 15 April 2020,Good quality of printing. Installation is quite easy. Considering the inkjets it is not fair enough for regular use
Hathi Singh,Reviewed in India on 17 August 2020,In his circles
furqan,Reviewed in India on 9 March 2020,Only around 30 or 35 pages done by one time cartridge.
Mukesh,Reviewed in India on 5 January 2023,Received dry color ink.
Yasin,Reviewed in India on 15 November 2020,Print quality very beautiful price money very small
Kenishaa,Reviewed in India on 11 October 2021,"The printer won't work at all. There is only noise that's coming right from the time I switched it on. I bought it a few days ago but had to travel. Turned it on for the first time today and it keeps making noises, it's also not taking the paper in."
Shubham R Sinha,Reviewed in India on 2 October 2016,"I would recommend not to buy this product because ink usage is very high. ... otherwise look and performance wise its good but efficiency wise its poor. Buy a good one, don't go for cheaper one..."
Amal John,Reviewed in India on 11 July 2020,"Fine one,Use thick paper, otherwise two or more papers comes out with the printed one."
sumeet,Reviewed in India on 28 October 2022,Paper got stuck in it .it didn't work. Only good thing that Amazon did the refund processed
Deepak,Reviewed in India on 15 May 2022, A product with amazing value for money
Dhawal Mukesh Sanghvi,Reviewed in India on 9 March 2018,"Product is good, very good price but ink costs you almost 1/3rd of the product cost. Not recommended for long term use, very good for events, small events, short term use."
V,Reviewed in India on 22 September 2017,"The best thing about the product is its low price and the printer works really well. Easy handling, light weight and easy to use. Used it for about a month now and is still working fine. The only problem with this is the cost of the new cartridges."
sharada,Reviewed in India on 26 April 2021,😃😀
Prakash Chandra Mandal,Reviewed in India on 6 November 2019,Printer is good but the printer cartridge is very costly so don't buy this printer
vikasthangavel,Reviewed in India on 16 August 2020,GOOD Product for home use ...it easy to copy... print quality is good...
Arvind,Reviewed in India on 3 October 2021,I have been using it for 3 months and took nearly 300 print out. Refilled the ink thrice and now it has stopped working. Paper roller seems to be a problem so please do not waste money in buying it. It's not a good buying option at all. Just waste of the money.
Prashant Shah,Reviewed in India on 14 May 2021,On installation of printer and software. A test page and alignment page printed. Checked estimates ink level in cartridge in the HO software. It showed 2/3rd level in colour and nearly 1/2 level in black. Either cartridges were faulty or with low ink level. Black cartridge printed no more than 50 pages. Most expensive per page printing cost at around Rs 15 per page.
Dk s.,Reviewed in India on 7 September 2020,Good product
Rohit Nigam,Reviewed in India on 15 March 2022,"Perfect for home use in such reasonable price. Scan, Copy & Print in Black or Colour"
Rajesh Rajagopal,Reviewed in India on 23 July 2021,"The amount of catridge is high.
Best to buy good printer if it little costly also."
Ajay Desai,Reviewed in India on 28 September 2017,I had taken HP printer during sale. Received product on 23rd sep. Before time. But my black colour cartridge HP 803 is not detected by printer. So no print can be taken out. I have contacted HP center in baroda. They have given cartridge for replacement to HP. Waiting for new cartridge. Post that would be able to know about printer. Whether there is problem with printer or not.
Amit Dutta Banik,Reviewed in India on 18 October 2019,The installation CD was not inside the packet. Actually the box was without the CD.
Home user in Goa,Reviewed in India on 2 January 2020,After installing printer in October 2019 it worked only for one month with 802 black cartridge. Once it got finished bought HP 803 cartridge which was recommended by HP. It did not work. Followed HP instructions to sort out matter. Did not work. Then bought HP 802 cartridge because it had come with original printer. That too did not work. Since last 45 days attempted up teen times to contact helpline no. 18002000047. You just do not get it. Orange light continuously blinks. Have no idea what to do.
Amazon Customer,Reviewed in India on 24 November 2021,It's not good for shop
Nandkumar,Reviewed in India on 17 October 2019,Able to print pdf and photos. Word document and excel sheet not able to print
Binod Kumar Singh,Reviewed in India on 30 July 2020,This is helpful product
Farooq D Y,Reviewed in India on 12 January 2023,Incompatible Cartridges sent
FAIZI,Reviewed in India on 3 October 2016,"ITS OK.
COPY-- U CAN COPY ONLY 9
PRINTING--U CAN PRINT GOOD BUT ITS VERY SLOW, RESPONDS AFTER 2MINS.
SCAN-- U CAN SCAN IT.
ONLY DISADVANTAGE IS COST PER PRINT IS MORE.
GOOD FOR HOME USE NOT FOR COMMERCIAL USE.SINCE UNECONOMICAL."
dhiraj k.,Reviewed in India on 27 July 2020,Ink very fast empty
Abhijeet K.,Reviewed in India on 26 March 2020,"Not so worth buying this printer, print quality is good, but the cartridge of this printer is very small and as they say on website that the cartridge can print 165 pages, it's just to fool the people for buying the product, actually the print is only of 45 pages only. This is same with black as well with colour cartridge. The prices of the cartridge is rs. 1400 to buy. Sorry to say this printer had failed because of the print cartridges only."
Amazon Customer,Reviewed in India on 4 September 2020,Just Bad
P.K.Ramam,Reviewed in India on 3 July 2021,"Smooth functioning , light weight , easy to install are the features needed for occasional use at home and satisfied that all three parameters are met with this printer."
Amazon Customer,Reviewed in India on 31 July 2020,All is well
vikram.m,Reviewed in India on 2 December 2021,Got corrupted tri colour cotrage
Akshat Jain,Reviewed in India on 10 August 2018,"This printer is a very good choice for home use.
The print, scan and copy quality is awesome.
Must buy this printer as it's also the cheapest and a quality product of HP.
But remember the Ink cartridge is Costly."
Babli Kumari,Reviewed in India on 4 November 2019,"Dear Team,
I had bought HP Deskjet 2131but received 2130 and also not getting Invoice."
sadishkumar,Reviewed in India on 17 September 2021,Plz don't buy not worth for money and no support as
A.M,Reviewed in India on 5 September 2020,Scanning speed
namanfarsoia,Reviewed in India on 13 October 2022,Third class product which I had recieved. This is not printed properly really wasting a time...to buy this product
Shubham K.,Reviewed in India on 21 September 2018,The printer works fine but the cost of printing is too much. Ink cartridge is very expensive so it's not worth it for everyday use.
Srinivas,Reviewed in India on 29 April 2021,"Catridges are expensive.

performance is bad.

can't be used for even small office.

Good for students to print occasionally."
aakash Gupta,Reviewed in India on 20 May 2022, Printe comand deta time plan paper nikhal rha ha our na colour print paper aa rha and no black and white is item change poor item plzz help me Amazon plzz call me return product
sayan samanta,Reviewed in India on 21 October 2020,only problem is cartage cost is very high
Arun Karnan,Reviewed in India on 6 October 2017,The ink cartridge that it came with printed only near 100 pages. I know that it'll print only less pages but 100 is too low. Need to test it with new cartridges.
komal,Reviewed in India on 18 October 2020,"Yes printer is very good but it's cartridge is not good, it shows on internet that per cartridge print 160 page around but in actual case that cartridge is finished in 10 pages only."
Shivam Kumar,Reviewed in India on 7 July 2021,Printer is good but its ink capacity is too low...it only print 30-50 page per ink
Natarajan V,Reviewed in India on 4 January 2023,I want replacement
Dipak Thakur,Reviewed in India on 9 December 2019,"Did not work well, could print only 5 black and white pages and stopped printing after that. Color prints were also not good from day 1 itself. Need to take it to nearest HP shop now to check whats the issue. Updating the review again .... in total in printed 78 pages only, after this HP forcing to buy new cartridge for 800 which will print 100 pages,,, so per page print cost is 8 on top of money paid to buy the printer... third class useless product"
Vijay M,Reviewed in India on 2 July 2020,Very Basic type printer
Trilok Singh,Reviewed in India on 4 July 2022,
venkatesan,Reviewed in India on 27 January 2020,"installation CD not available, no scanner button, warranty card not available"
Sajee,Reviewed in India on 8 January 2023,Scaner not working
jitesh arora,Reviewed in India on 10 November 2022," We Got old & used printer, leaked ink , no installation CD ,"
Gayatri jamdare,Reviewed in India on 21 December 2020,I like the picture quality
Suresh yadav,Reviewed in India on 3 January 2021,Good printin colur and bw
Rajesh B,Reviewed in India on 16 November 2021,For windows 11 not working
Harshitha,Reviewed in India on 29 December 2021,"Received used product, not a brand new product seal everything is removed. And it’s not even working it doesn’t has 2 set of ink
All over finger prints in black dust is visible and hairs in the printer and few accessories were also missing"
Amazon Customer,Reviewed in India on 13 November 2019,Printer is good cartridge not useful print cost per page goes Ten Rupees.
Kannan,Reviewed in India on 26 January 2022,"Utter a waste of money. 1st Print was good in both Colour and Black & White.
Post 1 month, It was not printed in Black & White. Instead plain white paper used to come as output.

Better go for a different product."
Rohit,Reviewed in India on 25 February 2022," Too annoying product. I have just wasted my money on this.
Scanner not working. It's a defective product. Don't go for HP. I bought a laptop and printer from hp and both have issues. Please switch to different brand."
Playground,Reviewed in India on 23 June 2022,Nice Product.
Saroj Rohilla,Reviewed in India on 21 June 2021,"Great product and super fast delivery!!
Its the best solution for personal use.

Would've like if wifi option is also available in this model but USB is also good."
Sunil tiwari,Reviewed in India on 26 June 2021,"After watching so many reviews i was quite afraid to buy this but when i bought this ,it was best decision for me this printer is so good 😀😀"
BifyMathew,Reviewed in India on 22 August 2020,Product and quality is good and ink cost is high
Amazon Customer,Reviewed in India on 12 August 2021,Every time ink refill cost comes 450 and gives only 20 pages
Vilson Sonkar,Reviewed in India on 24 August 2019,"Printer quality is not very good but it is student use only.
Amazon service is best"
Marx EC,Reviewed in India on 12 August 2020,Good one. External ink tanks would have been convenient if available
Simon bera,Reviewed in India on 1 April 2021,Nice
Mohd Zafar,Reviewed in India on 18 October 2021,I don't like this box (printer cum scanner). It is not easy to install. After many days of installation I came to know that it can scan only photo no doccuments. Now it's too late to replace. You are making your costummers fool.Don't buy it even for a rupee.
Samir Kumar swain,Reviewed in India on 23 June 2021,"This item is complete rubbish.. cannot scan.. problem with hardware, whenever you try print one page it will drag all the pages inside the paper tray.. printer is cheap but cartridge is very expensive only 70 / 80 pages can be printed from obe cartridge which means will cost around 20 rupees per page.. Think before you buy..."
Harihar Sabat,Reviewed in India on 5 September 2017,Price wise ok. But problem is of refiling. It is not accepting the refiling cartidge. HP need to take care so that the printer accepts the refiling cartidge in order to facilitate customer.
Amazon Customer,Reviewed in India on 11 July 2019,"Doesnt last for long . Ink catridge problems , it will dry fast . Not soooo good"
vijay kotian,Reviewed in India on 29 December 2019,"I didn't get CD for connecting to my laptop
Please send me"
Placeholder,Reviewed in India on 14 April 2021,Ok
mukul Kanti kayal,Reviewed in India on 17 February 2021,Very good product
dhruv,Reviewed in India on 21 December 2019,dont buy it for an office setup. ok for individual use
shaista Noor,Reviewed in India on 26 December 2020,Good quality in affordable price
Simeon,Reviewed in India on 29 October 2019,"For this price it’s a good printer, the scanner is a good too, but the problem is the ink don’t walk it runs, that’s the con. Moreover if you buy a new 803 ink it cost half the price of the new printer and if you inject ink it doesn’t show the ink level and the printing quality decreases."
Amazon Customer,Reviewed in India on 19 May 2020,Good printer in this price
Munish kumar,Reviewed in India on 31 May 2020,It's worthy acc.to the price
Kumar,Reviewed in India on 5 September 2020,good
Nitin Pawar,Reviewed in India on 12 November 2021,"product is good but the cartridge is very expensive.
One cartridge print only 20-25 prints. One print cost is approx 30-40rs"
Muhammed Afsel,Reviewed in India on 25 October 2020,"Good printing, scanning and coping.........
Good Packing"
Abhishek,Reviewed in India on 12 July 2020,"It's actually will be more economic for you to go to your neighborhood photocopy shop than using this printer.
650 rs per cartridge wont even last 100 A4 pages in standard quality.
Inkjets are such a ripoff, man."
Amazon Customer,Reviewed in India on 3 October 2020,"A very good product at this price. Easy to use. basic printer. The print and scan quality is pretty good. I have been using it only for a month, so cant comment on the ink usage yet. Overall a product for home printing needs."
Sandhya,Reviewed in India on 22 September 2020,"All in One printer which will scan,print and copy(Xerox) 👌👌😀
I have done 100 printouts in 1 day, still ink level showing full.
Photos are printing very nice.
Xerox copies also giving good print.
Scan we can do using hp smart app downloading in laptop/pc"
Rajeev Mundra,Reviewed in India on 27 January 2018,"There are better printers than this one which does not work on Wifi, and that is the 2131's biggest drawback. Unfortunately I realized it too late after receiving the printer."
Dheeraj Verma,Reviewed in India on 17 March 2021,Good printer
alok kumar,Reviewed in India on 13 February 2019,Slow printing. It takes almost a minute to print a single black and white page. Colour printing takes more time.
Roy,Reviewed in India on 26 July 2019,"Selling printers at low cost to loot you by selling cartridges at very high cost, inkjet printers not good for long run, prints nearly 100 pages in ₹1500( one cartridge set price)
Cartridges have very low ink content, moreover it's not everyone's cup of tea to refill and reuse the cartridge."
Saurabh Singh,Reviewed in India on 15 August 2019,Ink cartridges are to expensive & when u change it will short or doesn't work.
Nath,Reviewed in India on 16 July 2020,delivery is good and printer is properly packed and easy to install
Amazon Customer,Reviewed in India on 8 January 2023,Used Cartridge
Raj kumar,Reviewed in India on 16 October 2020,It is good but cartage are costly
Krishna Chaitanya,Reviewed in India on 9 May 2022,Cartridge completed very fast. I hardly took 130 pages print and 3 color prints and see the cartridge level is very low. Comparing to other brands. I see cartridge is costly. Made a mistake I felt
Muralidhar jami,Reviewed in India on 1 July 2022,Super
Balamurugan,Reviewed in India on 10 May 2021,Did not properly printing the paper it is crossely printing paper kindly request you.to replace my printer priduct
Pradeep Sm,Reviewed in India on 27 November 2021,"Cartridge complaint, with in one weak. Poor performance, technical problems not been cleared from the hp company. Costomer care language only english and hindi, other language users pls not select this divise, i am trapped. You have seen this printer in olx from the next day"
Rathavi d.,Reviewed in India on 25 May 2020,Printer is soo easy to use and not connect mobile with otg or Wi-Fi
Iliyas bhai,Reviewed in India on 9 September 2020,Printer is smooth print quality nice I am happy
vaishali bhasin,Reviewed in India on 29 November 2022,Paper stuck and printer does not take sheets
Lohit .N.M,Reviewed in India on 30 October 2020,In two days cartage ink finished
Sreehari n.,Reviewed in India on 4 October 2021,"Breakage item, i want to replace it"
Nittin,Reviewed in India on 20 October 2020,Good quality printer under this price range
parthiban,Reviewed in India on 2 February 2020,You have to keep using it otherwise not work
RY,Reviewed in India on 1 July 2020,Not very efficient
nitin j.,Reviewed in India on 17 October 2019,"It's cartridge is too costly.... Around 1800
Highly not recommended for any one...."
Kishore Jasotani,Reviewed in India on 14 November 2017,"Ink quality is good. Good printer but ink level in cartridge is low. Prints very slow. Takes almost 6-7 seconds to print a page. But at this price it serves all the purposes of home use like scanning, copying, printing in good quality."
Atmaram,Reviewed in India on 29 May 2022,Print quality very good
Sunil Kumar Gupta,Reviewed in India on 6 January 2021,HP Desk 2331 printer in side the box but when I opened it I saw I side manu papers is other printer there's no CD inside
senniangiri,Reviewed in India on 21 December 2020,3 in 1 capability
Shankar,Reviewed in India on 2 June 2019,"Install CD not given
Hp Services hub at kalyan not Help because online purchased product"
Vasanth,Reviewed in India on 20 August 2020,Nice
Rajendra Narayan Kadu,Reviewed in India on 13 January 2021,"Easy to install,"
Megha,Reviewed in India on 22 November 2022,"This is costly print, there for not used printer."
Sylvan Azavedo,Reviewed in India on 3 August 2021,Every time I try to install the printer the software says stopped working. I am really frustrated. To add to it the return is stopped on 1st August. I just want to know what I can do. Can I get some help from your local support in Goa? I would prefer an answer please.
Mansi,Reviewed in India on 26 November 2019,Link CD is missing from the box.... I raised a return request.
B surendra,Reviewed in India on 1 September 2020,Nice product for home and value for money
Sandeep,Reviewed in India on 11 December 2017,"Budjet prirce in printer.
But we have changing an option of print page as 8*10 otherwise a4 is not to print perfectly.
At last of A4 size paper not print push it the rollers, so it is not print...last some lines."
Sridhar Reddy M,Reviewed in India on 11 March 2021,Good
Supritha,Reviewed in India on 21 November 2022,Ink gets dried in few days.. Not worth buying
Amazon Fan,Reviewed in India on 28 February 2018,Requires lots of ink cartridges and not recommended for people who print a lot I printed about 50-60 pages black and white and the cartridge was empty
Sakthi NARAYANASAMY,Reviewed in India on 28 October 2021,Initial cost only impressive. Then it becomes a bourdon to replace ink very very frequently and cartridge cost is too high. I used for an year very minimally. Now want to sell this out. And buy better one. MY advise is NEVER GO FOR THIS MODEL!
Srinivas Tatipudi,Reviewed in India on 1 September 2021,"Cartridge cost is toomuch high, and it will not give 100 prints for each cartridge, waste of money, it will be useful for only scanning. If you want go for scanner okay but don't go for printing papers each paper will cost 20 rupess + black or color waste of money"
Amit Goswami,Reviewed in India on 28 November 2020,Nice Product for home use.
Ashwin Singh,Reviewed in India on 7 August 2020,"it is good for price, quality is also good"
shaheed,Reviewed in India on 28 December 2019,Scan was pretty good but ink using was high
Ranajit Pawar,Reviewed in India on 7 November 2019,Gud product... Cheap price but ink mrp is too high around 2k
AninK,Reviewed in India on 11 August 2021,"All is good, but printer cartridges don't last long enough."
Swarna power solutions,Reviewed in India on 23 November 2019,Carriage is printing very less quantity of papers nearly 50
Sandeep,Reviewed in India on 21 October 2017,"After long term use, I am facing issues with this printer. The Black and White Cartridge stopped working after taking 10 page prints... I had to buy a new cartridge.... Now after a months use, the scanner is not working fine. It always scans in Black and white even if I select Color scanning. So just a 2 star for this ..."
ashu shukla,Reviewed in India on 25 November 2020,good for home use only
